date,year,semester,quarter,month,month_name,month_start,month_end,day,day_of_week,day_name,week_of_year,week_of_month
2017-06-24,2017,1,2,6,June,2017-06-01,2017-06-30,24,6,Saturday,25,4
2017-06-25,2017,1,2,6,June,2017-06-01,2017-06-30,25,7,Sunday,25,4
2017-06-26,2017,1,2,6,June,2017-06-01,2017-06-30,26,1,Monday,26,4
2017-06-27,2017,1,2,6,June,2017-06-01,2017-06-30,27,2,Tuesday,26,4
2017-06-28,2017,1,2,6,June,2017-06-01,2017-06-30,28,3,Wednesday,26,5
2017-06-29,2017,1,2,6,June,2017-06-01,2017-06-30,29,4,Thursday,26,5
2017-06-30,2017,1,2,6,June,2017-06-01,2017-06-30,30,5,Friday,26,5
2017-07-01,2017,2,3,7,July,2017-07-01,2017-07-31,1,6,Saturday,26,1
2017-07-02,2017,2,3,7,July,2017-07-01,2017-07-31,2,7,Sunday,26,1
2017-07-03,2017,2,3,7,July,2017-07-01,2017-07-31,3,1,Monday,27,1
2017-07-04,2017,2,3,7,July,2017-07-01,2017-07-31,4,2,Tuesday,27,1
2017-07-05,2017,2,3,7,July,2017-07-01,2017-07-31,5,3,Wednesday,27,1
2017-07-06,2017,2,3,7,July,2017-07-01,2017-07-31,6,4,Thursday,27,1
2017-07-07,2017,2,3,7,July,2017-07-01,2017-07-31,7,5,Friday,27,2
2017-07-08,2017,2,3,7,July,2017-07-01,2017-07-31,8,6,Saturday,27,2
2017-07-09,2017,2,3,7,July,2017-07-01,2017-07-31,9,7,Sunday,27,2
2017-07-10,2017,2,3,7,July,2017-07-01,2017-07-31,10,1,Monday,28,2
2017-07-11,2017,2,3,7,July,2017-07-01,2017-07-31,11,2,Tuesday,28,2
2017-07-12,2017,2,3,7,July,2017-07-01,2017-07-31,12,3,Wednesday,28,2
2017-07-13,2017,2,3,7,July,2017-07-01,2017-07-31,13,4,Thursday,28,2
2017-07-14,2017,2,3,7,July,2017-07-01,2017-07-31,14,5,Friday,28,3
2017-07-15,2017,2,3,7,July,2017-07-01,2017-07-31,15,6,Saturday,28,3
2017-07-16,2017,2,3,7,July,2017-07-01,2017-07-31,16,7,Sunday,28,3
2017-07-17,2017,2,3,7,July,2017-07-01,2017-07-31,17,1,Monday,29,3
2017-07-18,2017,2,3,7,July,2017-07-01,2017-07-31,18,2,Tuesday,29,3
2017-07-19,2017,2,3,7,July,2017-07-01,2017-07-31,19,3,Wednesday,29,3
2017-07-20,2017,2,3,7,July,2017-07-01,2017-07-31,20,4,Thursday,29,3
2017-07-21,2017,2,3,7,July,2017-07-01,2017-07-31,21,5,Friday,29,4
2017-07-22,2017,2,3,7,July,2017-07-01,2017-07-31,22,6,Saturday,29,4
2017-07-23,2017,2,3,7,July,2017-07-01,2017-07-31,23,7,Sunday,29,4
2017-07-24,2017,2,3,7,July,2017-07-01,2017-07-31,24,1,Monday,30,4
2017-07-25,2017,2,3,7,July,2017-07-01,2017-07-31,25,2,Tuesday,30,4
2017-07-26,2017,2,3,7,July,2017-07-01,2017-07-31,26,3,Wednesday,30,4
2017-07-27,2017,2,3,7,July,2017-07-01,2017-07-31,27,4,Thursday,30,4
2017-07-28,2017,2,3,7,July,2017-07-01,2017-07-31,28,5,Friday,30,5
2017-07-29,2017,2,3,7,July,2017-07-01,2017-07-31,29,6,Saturday,30,5
2017-07-30,2017,2,3,7,July,2017-07-01,2017-07-31,30,7,Sunday,30,5
2017-07-31,2017,2,3,7,July,2017-07-01,2017-07-31,31,1,Monday,31,5
2017-08-01,2017,2,3,8,August,2017-08-01,2017-08-31,1,2,Tuesday,31,1
2017-08-02,2017,2,3,8,August,2017-08-01,2017-08-31,2,3,Wednesday,31,1
2017-08-03,2017,2,3,8,August,2017-08-01,2017-08-31,3,4,Thursday,31,1
2017-08-04,2017,2,3,8,August,2017-08-01,2017-08-31,4,5,Friday,31,1
2017-08-05,2017,2,3,8,August,2017-08-01,2017-08-31,5,6,Saturday,31,1
2017-08-06,2017,2,3,8,August,2017-08-01,2017-08-31,6,7,Sunday,31,1
2017-08-07,2017,2,3,8,August,2017-08-01,2017-08-31,7,1,Monday,32,2
2017-08-08,2017,2,3,8,August,2017-08-01,2017-08-31,8,2,Tuesday,32,2
2017-08-09,2017,2,3,8,August,2017-08-01,2017-08-31,9,3,Wednesday,32,2
2017-08-10,2017,2,3,8,August,2017-08-01,2017-08-31,10,4,Thursday,32,2
2017-08-11,2017,2,3,8,August,2017-08-01,2017-08-31,11,5,Friday,32,2
2017-08-12,2017,2,3,8,August,2017-08-01,2017-08-31,12,6,Saturday,32,2
2017-08-13,2017,2,3,8,August,2017-08-01,2017-08-31,13,7,Sunday,32,2
2017-08-14,2017,2,3,8,August,2017-08-01,2017-08-31,14,1,Monday,33,3
